Protein1,Protein2,PartialCor
1433EPSILON,COLLAGENVI,-0.10383
4EBP1,4EBP1PS65,-0.21951
4EBP1,4EBP1PT37T46,-0.16362
4EBP1,EIF4E,-0.25131
4EBP1PS65,4EBP1PT37T46,-0.27183
4EBP1PS65,GATA3,0.12311
4EBP1PT37T46,AMPKPT172,0.17051
4EBP1PT37T46,GSK3ALPHABETAPS21S9,-0.16991
4EBP1PT37T46,MAPKPT202Y204,-0.09858
4EBP1PT37T46,S6PS240S244,-0.19064
4EBP1PT37T46,SRCPY527,-0.14263
53BP1,BETACATENIN,-0.17723
53BP1,P70S6KPT389,0.28532
53BP1,S6,-0.19299
53BP1,SMAD1,-0.15018
ACCPS79,ACC1,-0.71057
ACCPS79,AMPKPT172,-0.06524
ACCPS79,CAVEOLIN1,0.05481
ACCPS79,GSK3ALPHABETAPS21S9,-0.30518
ACCPS79,P70S6KPT389,0.08578
ACCPS79,PKCALPHA,0.17667
ACCPS79,STAT5ALPHA,-0.11378
ACC1,CYCLINB1,-0.06526
ACC1,GSK3ALPHABETAPS21S9,0.12794
AKT,DVL3,-0.189
AKT,JNK2,-0.32198
AKT,P70S6K,-0.27551
AKTPS473,AKTPT308,-0.78113
AKTPS473,AR,-0.00042
AKTPS473,HER3,0.16772
AKTPS473,HSP70,0.09143
AKTPS473,MAPKPT202Y204,-0.24993
AKTPS473,P70S6KPT389,-0.129
AKTPS473,PRAS40PT246,-0.00027
AKTPS473,VEGFR2,0.00094
AKTPT308,AMPKPT172,0.0548
AKTPT308,CDK1,-0.11935
AKTPT308,GSK3ALPHABETAPS21S9,-0.07973
AKTPT308,MAPKPT202Y204,0.19979
AKTPT308,PRAS40PT246,-0.21466
AKTPT308,S6,0.14177
AKTPT308,EGFR,-0.11649
AMPKALPHA,AMPKPT172,-0.50797
AMPKALPHA,BIM,0.00106
AMPKALPHA,COLLAGENVI,0.15329
AMPKPT172,SRCPY527,-0.15147
AR,ERALPHA,-0.12469
AR,FIBRONECTIN,-0.07307
AR,GATA3,-0.13848
AR,INPP4B,-0.30008
AR,PKCALPHA,0.17159
AR,VEGFR2,0.15127
ATM,CYCLINB1,0.12586
ATM,RAD50,-0.18757
ATM,S6,-0.15817
ATM,STAT5ALPHA,-0.30289
ATM,TUBERIN,-0.18152
BAK,CMETPY1235,-0.15506
BAK,CMYC,0.10644
BAK,EGFRPY1173,-0.32718
BAK,HER3,-0.00087
BAK,HER3PY1298,-0.22615
BAK,P90RSKPT359S363,2e-04
BAK,SMAD3,-0.23841
BAK,SMAD4,-0.25342
BAK,XRCC1,-0.17103
BAK,MTORPS2448,0.16303
BAX,BCLXL,-0.22934
BAX,CMYC,0.1252
BAX,LCK,-0.17729
BAX,PEA15,-0.21646
BCL2,BIM,-0.34858
BCL2,CAVEOLIN1,-0.08953
BCL2,DJ1,-0.1589
BCL2,ERALPHA,-0.0819
BCL2,GATA3,-0.06247
BCL2,HER2PY1248,0.09844
BCL2,INPP4B,-0.09779
BCL2,P27,-0.19056
BCLXL,BID,-0.03329
BCLXL,EEF2,-0.27862
BCLXL,JNK2,-0.15312
BCLXL,NCADHERIN,-0.14044
BCLXL,RAD51,-0.15612
BCLXL,YB1,-0.14734
BECLIN,CD31,-0.11924
BECLIN,INPP4B,-0.12115
BECLIN,MRE11,-0.12988
BECLIN,P53,-0.27149
BECLIN,PKCDELTAPS664,-0.18543
BETACATENIN,ECADHERIN,-0.67275
BETACATENIN,ERALPHA,-0.00051
BETACATENIN,ERK2,-0.22719
BETACATENIN,HER2PY1248,0.03286
BETACATENIN,NF2,-0.31553
BETACATENIN,PAXILLIN,-0.00072
BETACATENIN,PCNA,0.12031
BETACATENIN,RAD50,-0.18606
BETACATENIN,YB1,-0.20119
BID,CHK1,-0.17029
BID,COLLAGENVI,-0.15998
BID,EGFRPY1173,-0.30748
BID,GATA3,-0.08039
BID,HSP70,-7e-04
BID,NCADHERIN,-0.24043
BID,STATHMIN,-0.09448
BID,EGFR,-0.1866
BIM,CHK2,-0.14334
BIM,CYCLINB1,-0.07675
BIM,GATA3,-0.13901
BIM,RBPS807S811,0.2359
CJUNPS73,CDK1,-0.22254
CJUNPS73,IRS1,-0.17761
CJUNPS73,JNKPT183Y185,-0.23397
CKIT,COLLAGENVI,-0.25107
CKIT,ERALPHA,0.18951
CKIT,GATA3,-0.12206
CKIT,PAI1,0.00075
CMETPY1235,CD31,-0.17218
CMETPY1235,CHK2PT68,-0.19068
CMETPY1235,EGFRPY1173,-0.00026
CMETPY1235,MRE11,-0.09996
CMETPY1235,STATHMIN,-0.16779
CMYC,CDK1,-0.06315
CMYC,HER3,-0.18645
CMYC,INPP4B,-0.10995
CMYC,JNK2,0.12666
CMYC,P27PT157,-0.32065
CMYC,P70S6KPT389,-0.29395
CMYC,STATHMIN,-0.31391
CMYC,YB1,-0.06292
CRAF,TUBERIN,-0.15656
CRAFPS338,GATA3,0.10581
CASPASE7CLEAVEDD198,LCK,-0.46333
CASPASE7CLEAVEDD198,S6PS240S244,-0.00129
CASPASE7CLEAVEDD198,ASNS,-0.00426
CAVEOLIN1,CHK2PT68,0.12818
CAVEOLIN1,COLLAGENVI,-0.31038
CAVEOLIN1,DJ1,-0.20357
CAVEOLIN1,FIBRONECTIN,0.08394
CAVEOLIN1,MEK1,-0.28125
CAVEOLIN1,P53,0.14104
CAVEOLIN1,P70S6KPT389,-0.00213
CAVEOLIN1,PKCALPHAPS657,-0.17945
CAVEOLIN1,SRCPY527,-0.30302
CAVEOLIN1,STAT3PY705,-0.0016
CD31,EGFRPY1068,0.13455
CD31,LKB1,-0.25996
CD31,MRE11,-0.23184
CD31,P53,-0.11396
CD31,SHCPY317,-0.24482
CD31,SRCPY416,-0.28803
CD49B,CLAUDIN7,-0.23202
CD49B,S6PS235S236,0.12123
CDK1,CHK1,-0.191
CDK1,CYCLINB1,-0.3095
CHK1,STATHMIN,-0.24012
CHK1PS345,CHK2PT68,-0.21932
CHK1PS345,GATA3,0.08873
CHK1PS345,NF2,-0.12918
CHK2,CYCLINB1,-0.22847
CHK2,EEF2,-0.15264
CHK2,INPP4B,0.16934
CHK2,KU80,-0.1846
CHK2,NF2,-0.1203
CHK2,P70S6K,0.09947
CHK2PT68,MRE11,-0.23111
CHK2PT68,P53,-0.32429
CHK2PT68,PCNA,0.0479
CHK2PT68,PKCDELTAPS664,-0.15976
CHK2PT68,STATHMIN,-0.00023
CIAP,SHCPY317,-0.06721
CIAP,YAPPS127,-0.06149
CLAUDIN7,ECADHERIN,-0.28972
CLAUDIN7,P53,-0.13491
CLAUDIN7,VEGFR2,-0.19102
COLLAGENVI,DVL3,0.23668
COLLAGENVI,EGFRPY1173,-0.1218
COLLAGENVI,ERALPHAPS118,0.11974
COLLAGENVI,FIBRONECTIN,-0.28188
COLLAGENVI,GATA3,-0.00417
COLLAGENVI,HSP70,-0.33392
COLLAGENVI,LCK,-0.07702
COLLAGENVI,MAPKPT202Y204,0.05997
COLLAGENVI,P27,-0.19153
COLLAGENVI,S6,0.12866
COLLAGENVI,STAT3PY705,-0.14034
CYCLINB1,CYCLINE1,-0.0013
CYCLINB1,DJ1,0.12817
CYCLINB1,EGFRPY1173,0.17652
CYCLINB1,ERK2,0.11783
CYCLINB1,GSK3ALPHABETA,-0.1767
CYCLINB1,P70S6K,-0.22314
CYCLINB1,PCNA,-0.24535
CYCLINB1,RBPS807S811,-0.23647
CYCLINB1,S6,-0.14392
CYCLINB1,STAT3PY705,0.17157
CYCLINB1,ASNS,-0.24702
CYCLINE1,GATA3,0.26826
CYCLINE1,HSP70,0.14615
CYCLINE1,INPP4B,0.23987
CYCLINE1,MAPKPT202Y204,0.25236
CYCLINE1,S6,-0.06992
CYCLINE1,ASNS,-0.1389
DJ1,EIF4E,-0.19754
DJ1,FIBRONECTIN,0.13294
DJ1,JNK2,-0.197
DJ1,MTOR,-0.07071
DJ1,PEA15,-0.29623
DVL3,EEF2K,-0.19584
DVL3,ERALPHA,0.09092
DVL3,FIBRONECTIN,-0.17652
DVL3,TUBERIN,-0.20809
ECADHERIN,ERK2,0.22901
ECADHERIN,JNK2,0.05229
ECADHERIN,NF2,0.11386
ECADHERIN,PAXILLIN,0.07713
ECADHERIN,STAT5ALPHA,0.13347
EEF2,ERK2,-0.22759
EEF2,GSK3ALPHABETA,-0.28333
EEF2,HER2PY1248,0.00033
EEF2,NF2,-0.20486
EEF2,RAD51,-0.09046
EEF2,S6,-0.18073
EEF2,SYK,-0.22315
EGFRPY1068,HER2PY1248,-0.46924
EGFRPY1068,HER3PY1298,-0.20485
EGFRPY1068,SHCPY317,-0.25235
EGFRPY1068,SRCPY416,-0.32667
EGFRPY1173,RAD51,-0.16994
EIF4E,SMAD1,-0.05487
ERALPHA,ERALPHAPS118,-0.30074
ERALPHA,FIBRONECTIN,0.12247
ERALPHA,GATA3,-0.33559
ERALPHA,IGFBP2,-0.15583
ERALPHA,NOTCH1,0.21082
ERALPHA,PCADHERIN,0.19305
ERALPHA,P53,0.18312
ERALPHA,PDK1PS241,-0.11034
ERALPHA,STAT5ALPHA,0.12642
ERALPHA,TUBERIN,-0.04709
ERALPHA,VEGFR2,-0.00241
