Protein1,Protein2,PartialCor
1433EPSILON,COLLAGENVI,-0.09952
4EBP1,4EBP1PS65,-0.00062
4EBP1,4EBP1PT37T46,-0.31834
4EBP1,EIF4E,-0.27805
4EBP1PS65,4EBP1PT37T46,-0.35024
4EBP1PS65,GATA3,0.13173
4EBP1PT37T46,AMPKPT172,0.1946
4EBP1PT37T46,GSK3ALPHABETAPS21S9,-0.00253
4EBP1PT37T46,MAPKPT202Y204,-0.11251
4EBP1PT37T46,S6PS240S244,-0.17334
4EBP1PT37T46,SRCPY527,5e-05
53BP1,BETACATENIN,-0.23828
53BP1,P70S6KPT389,0.32447
53BP1,S6,-0.12645
53BP1,SMAD1,-3e-04
ACCPS79,ACC1,-0.72124
ACCPS79,AMPKPT172,-0.12631
ACCPS79,EGFRPY1068,-0.1273
ACCPS79,GSK3ALPHABETAPS21S9,-0.15886
ACCPS79,PKCALPHA,0.00141
ACCPS79,S6PS235S236,0.06985
ACCPS79,STAT5ALPHA,-0.13501
ACC1,CYCLINB1,-0.03506
ACC1,GSK3ALPHABETAPS21S9,0.15149
AKT,DVL3,-0.25456
AKT,JNK2,-0.26808
AKT,P70S6K,-0.00068
AKTPS473,AKTPT308,-0.72863
AKTPS473,AR,0.0745
AKTPS473,HSP70,0.00212
AKTPS473,MAPKPT202Y204,-0.26955
AKTPS473,P70S6KPT389,-0.09246
AKTPS473,PRAS40PT246,-0.13513
AKTPS473,VEGFR2,0.10093
AKTPT308,AMPKPT172,0.00152
AKTPT308,CDK1,-0.00074
AKTPT308,GSK3ALPHABETAPS21S9,-0.12922
AKTPT308,MAPKPT202Y204,0.1571
AKTPT308,PRAS40PT246,-0.21844
AKTPT308,EGFR,-0.00066
AMPKALPHA,AMPKPT172,-0.39815
AMPKALPHA,BIM,0.20539
AMPKALPHA,COLLAGENVI,0.12325
AR,EEF2,0.21099
AR,ERALPHA,-0.16988
AR,FIBRONECTIN,-0.00013
AR,GATA3,-0.27135
AR,INPP4B,-0.32313
AR,VEGFR2,0.20934
ATM,CYCLINB1,0.00259
ATM,RAD50,-0.15177
ATM,S6,-0.17517
ATM,STAT5ALPHA,-0.27393
ATM,TUBERIN,-0.00122
BAK,CMETPY1235,-0.00016
BAK,CMYC,0.00161
BAK,EGFRPY1173,-0.27783
BAK,HER3,-0.19442
BAK,HER3PY1298,-0.24343
BAK,P90RSKPT359S363,0.14318
BAK,SMAD3,-0.35449
BAK,SMAD4,-0.25675
BAK,XRCC1,-0.00021
BAK,MTORPS2448,1e-04
BAX,BCLXL,-0.19448
BAX,CMYC,0.1437
BAX,LCK,-0.00052
BAX,PEA15,-0.00028
BCL2,BIM,-0.25895
BCL2,CAVEOLIN1,0.11163
BCL2,COLLAGENVI,-0.16063
BCL2,DJ1,-0.22436
BCL2,ERALPHA,-0.16154
BCL2,GATA3,-4e-05
BCL2,HER2PY1248,0.04628
BCL2,INPP4B,-0.07126
BCL2,P27,-0.40217
BCLXL,BID,-0.06878
BCLXL,EEF2,-0.29594
BCLXL,JNK2,4e-05
BCLXL,NCADHERIN,-0.18323
BCLXL,RAD51,-0.00026
BCLXL,YB1,-0.21477
BECLIN,CD31,-0.2472
BECLIN,INPP4B,-0.10001
BECLIN,MRE11,-0.00019
BECLIN,P53,-0.33228
BECLIN,PKCDELTAPS664,-0.22229
BETACATENIN,CYCLINB1,0.08822
BETACATENIN,ECADHERIN,-0.67517
BETACATENIN,ERALPHA,0.04876
BETACATENIN,ERK2,-0.00052
BETACATENIN,HER2PY1248,0.03429
BETACATENIN,LCK,0.14862
BETACATENIN,NF2,-0.2716
